WRONG KB ID 	EL_ENG_01681	Burlington	Burlington, Wisconsin
CORRECT     	EL_ENG_00406	Springfield	Springfield, Massachusetts
CORRECT     	EL_ENG_00823	Springfield, Massachusetts	Springfield, Massachusetts
CORRECT     	EL_ENG_01669	Hamish Carter	Hamish Carter
CORRECT     	EL_ENG_00005	Bristol, Uk	Bristol
CORRECT     	EL_ENG_00182	Valentino Rossi	Valentino Rossi
CORRECT     	EL_ENG_00273	Carnival Cruise Lines	Carnival Cruise Lines
WRONG KB ID 	EL_ENG_00639	Fairfield	Fairfield, California
CORRECT     	EL_ENG_00987	PIL	Public Image Ltd.
CORRECT     	EL_ENG_00877	Chelsea Clinton	Chelsea Clinton
WRONG KB ID 	EL_ENG_01668	Chelsea	Chelsea Clinton
WRONG KB ID 	EL_ENG_02081	Madison	Madison, Wisconsin
CORRECT     	EL_ENG_01541	ConAgra Foods	ConAgra Foods
CORRECT     	EL_ENG_01478	Morrisville, Vermont	Morrisville, Vermont
EXP NIL     	EL_ENG_00450	Kenneth Starr	Kenneth Starr
CORRECT     	EL_ENG_01175	Kenneth Starr	Kenneth Starr
CORRECT     	EL_ENG_00352	Fayetteville, New York	Fayetteville, New York
EXP NIL     	EL_ENG_02101	CAPP	Al Capp
CORRECT     	EL_ENG_01282	Paris, Texas	Paris, Texas
WRONG KB ID 	EL_ENG_01240	Newark	Newark-on-Trent
CORRECT     	EL_ENG_02168	Jeff Carter	Jeff Carter
CORRECT     	EL_ENG_00868	Tony Dow	Tony Dow
CORRECT     	EL_ENG_02220	Tony Dow	Tony Dow
CORRECT     	EL_ENG_01341	Jacksonville, North Carolina	Jacksonville, North Carolina
CORRECT     	EL_ENG_00761	Sky Blues	Coventry City F.C.
CORRECT     	EL_ENG_00866	Singers F.C	Coventry City F.C.
CORRECT     	EL_ENG_01907	Vineland, New Jersey	Vineland, New Jersey
CORRECT     	EL_ENG_00396	Pineville, Missouri	Pineville, Missouri
CORRECT     	EL_ENG_00690	Greg Hunt	Greg Hunt
CORRECT     	EL_ENG_02046	Maura Tierney	Maura Tierney
CORRECT     	EL_ENG_00370	Oliver Hill	Oliver Hill
CORRECT     	EL_ENG_00944	Kat Dennings	Kat Dennings
EXP NIL     	EL_ENG_00402	APC	A Perfect Circle
CORRECT     	EL_ENG_00833	Jennie Reed	Jennie Reed
CORRECT     	EL_ENG_01364	Mary-Kate Olsen	Mary-Kate Olsen
CORRECT     	EL_ENG_01580	Valerie Wilson	Valerie Plame
WRONG KB ID 	EL_ENG_00985	Waterloo	University of Waterloo
WRONG KB ID 	EL_ENG_00300	Columbus Police	Columbus Division of Police
WRONG KB ID 	EL_ENG_01232	Rockdale	City of Rockdale
CORRECT     	EL_ENG_00881	Collinsville, Alabama	Collinsville, Alabama
CORRECT     	EL_ENG_00539	Ball State University	Ball State University
EXP NIL     	EL_ENG_00715	Ted Olson	Theodore Olson
WRONG KB ID 	EL_ENG_01519	Leh, India	Leh
CORRECT     	EL_ENG_01778	Leh, India	Leh
CORRECT     	EL_ENG_01694	Rockland, Massachusetts	Rockland, Massachusetts
CORRECT     	EL_ENG_00378	Matthew Fox	Matthew Fox (actor)
EXP NIL     	EL_ENG_02179	Department of Health	Department of Health (Philippines)
CORRECT     	EL_ENG_00851	Lucy Liu	Lucy Liu
CORRECT     	EL_ENG_01832	Ron Kirk	Ron Kirk
CORRECT     	EL_ENG_00166	Stephen Hunt	Stephen Hunt (footballer born 1981)
CORRECT     	EL_ENG_02035	Justin Reed	Justin Reed
CORRECT     	EL_ENG_00806	Andrew Firestone	Andrew Firestone
CORRECT     	EL_ENG_01266	David Patterson	David Paterson
CORRECT     	EL_ENG_00152	Wales	Wales
CORRECT     	EL_ENG_00720	Matt Jones	Matt Jones (American football)
WRONG KB ID 	EL_ENG_00446	Copenhagen	Copenhagen
CORRECT     	EL_ENG_01356	Copenhagen	Copenhagen
WRONG KB ID 	EL_ENG_00105	Newcastle	Newcastle United F.C.
CORRECT     	EL_ENG_00405	Magpies	Newcastle United F.C.
CORRECT     	EL_ENG_01067	Toon	Newcastle United F.C.
CORRECT     	EL_ENG_01648	Newcastle Utd	Newcastle United F.C.
CORRECT     	EL_ENG_01865	mags	Newcastle United F.C.
CORRECT     	EL_ENG_02162	Newcastle	Newcastle United F.C.
CORRECT     	EL_ENG_00452	Dick Clark	Dick Clark
EXP NIL     	EL_ENG_01770	Clark	Dick Clark
CORRECT     	EL_ENG_01387	Kat Von D	Kat Von D
EXP NIL     	EL_ENG_00371	John Hoagland	John Hoagland
EXP NIL     	EL_ENG_00364	Lisa Miller	Lisa Grimaldi
CORRECT     	EL_ENG_00179	Newburgh	Newburgh (city), New York
EXP NIL     	EL_ENG_01705	Newburgh	Newburgh (city), New York
WRONG KB ID 	EL_ENG_01283	Hamilton, Washington	Hamilton, Washington
CORRECT     	EL_ENG_00303	Nancy Wilson	Nancy Wilson (singer)
CORRECT     	EL_ENG_01268	Morristown, Tennessee	Morristown, Tennessee
CORRECT     	EL_ENG_00822	Terri Clark	Terri Clark
CORRECT     	EL_ENG_00739	Auburn, Maine	Auburn, Maine
CORRECT     	EL_ENG_00601	Merritt, British Columbia	Merritt, British Columbia
CORRECT     	EL_ENG_01495	Gainesville, Georgia	Gainesville, Georgia
EXP NIL     	EL_ENG_00037	CEC	Citizens Electoral Council
CORRECT     	EL_ENG_02018	AST	Aston Villa F.C.
CORRECT     	EL_ENG_01830	Rochester, Minnesota	Rochester, Minnesota
WRONG KB ID 	EL_ENG_00417	Culinary Institute of America	Culinary Institute of America at Greystone
CORRECT     	EL_ENG_01796	Mount Pleasant, South Carolina	Mount Pleasant, South Carolina
CORRECT     	EL_ENG_00441	Springfield, Ohio	Springfield, Ohio
CORRECT     	EL_ENG_01121	Stuart Clark	Stuart Clark
CORRECT     	EL_ENG_01547	Paul Tibbets	Paul Tibbets
CORRECT     	EL_ENG_00008	Columbus	Columbus Crew
CORRECT     	EL_ENG_01837	Mansfield, Massachusetts	Mansfield, Massachusetts
WRONG KB ID 	EL_ENG_00196	Camden, New Jersey	Camden, New Jersey
CORRECT     	EL_ENG_01072	Camden, New Jersey	Camden, New Jersey
CORRECT     	EL_ENG_01345	Camden, New Jersey	Camden, New Jersey
WRONG KB ID 	EL_ENG_01799	Camden, New Jersey	Camden, New Jersey
CORRECT     	EL_ENG_00805	Ashland, Oregon	Ashland, Oregon
CORRECT     	EL_ENG_01271	Austin Nichols	Austin Nichols
CORRECT     	EL_ENG_00729	Automatic Data Processing	Automatic Data Processing
EXP NIL     	EL_ENG_01211	ADP	Automatic Data Processing
CORRECT     	EL_ENG_00830	Ankara, Turkey	Ankara
CORRECT     	EL_ENG_01708	Angora	Ankara
CORRECT     	EL_ENG_02137	Whitney Houston	Whitney Houston
CORRECT     	EL_ENG_00079	Norfolk, Virginia	Norfolk, Virginia
EXP NIL     	EL_ENG_00222	Norfolk	Norfolk, Virginia
CORRECT     	EL_ENG_02089	Jack Metcalf	Jack Metcalf
CORRECT     	EL_ENG_01127	Raymond Barre	Raymond Barre
CORRECT     	EL_ENG_00197	Kingston, Massachusetts	Kingston, Massachusetts
CORRECT     	EL_ENG_00742	Newport, Rhode Island	Newport, Rhode Island
CORRECT     	EL_ENG_01003	Newport, Rhode Island	Newport, Rhode Island
CORRECT     	EL_ENG_00137	Dow Chemical Company	Dow Chemical Company
WRONG KB ID 	EL_ENG_00099	Death From Above	Death from Above 1979
CORRECT     	EL_ENG_01746	Al Wilson	Al Wilson
CORRECT     	EL_ENG_00764	Ruth Brown	Ruth Brown
CORRECT     	EL_ENG_01909	Silvestre Herrera	Silvestre S. Herrera
CORRECT     	EL_ENG_01343	Howard Hunt	E. Howard Hunt
CORRECT     	EL_ENG_01455	Jackson, Tennessee	Jackson, Tennessee
CORRECT     	EL_ENG_00193	Todd Woodbridge	Todd Woodbridge
WRONG KB ID 	EL_ENG_01817	Woodbridge	Todd Woodbridge
CORRECT     	EL_ENG_00665	Brown University	Brown University
CORRECT     	EL_ENG_02226	Brown University	Brown University
EXP NIL     	EL_ENG_00226	Antoine Walker	Antoine Walker
CORRECT     	EL_ENG_00158	Bonnie Somerville	Bonnie Somerville
EXP NIL     	EL_ENG_00349	Milton Keynes	Milton Keynes
EXP NIL     	EL_ENG_00577	Thompson	Jack Thompson (attorney)
EXP NIL     	EL_ENG_00593	Edmonton	Edmonton
CORRECT     	EL_ENG_00638	Ashland	Ashland Inc.
WRONG KB ID 	EL_ENG_00838	Chelsea	Salomon Kalou
CORRECT     	EL_ENG_00139	Aspen Daily News	Aspen Daily News
CORRECT     	EL_ENG_01733	Hillsville, Virginia	Hillsville, Virginia
CORRECT     	EL_ENG_01300	ABC	American Broadcasting Company
WRONG KB ID 	EL_ENG_01851	ABC	American Broadcasting Company
WRONG KB ID 	EL_ENG_01982	ABC	American Broadcasting Company
CORRECT     	EL_ENG_02050	Philippine Department of Foreign Affairs	Department of Foreign Affairs (Philippines)
EXP NIL     	EL_ENG_01908	Peoria, Illinois	Peoria Civic Center
CORRECT     	EL_ENG_00798	Morristown, New Jersey	Morristown, New Jersey
EXP NIL     	EL_ENG_00688	Olsen	Morten Olsen
CORRECT     	EL_ENG_00820	Hamilton, Ohio	Hamilton, Ohio
CORRECT     	EL_ENG_01446	Adams	Kevyn Adams
WRONG KB ID 	EL_ENG_00614	Middleburg	Middleburg, Pennsylvania
CORRECT     	EL_ENG_01301	Patrick Moore	Patrick Moore (environmentalist)
CORRECT     	EL_ENG_01626	Rebecca Miller	Rebecca Miller
EXP NIL     	EL_ENG_02073	Buxton	Buxton
WRONG KB ID 	EL_ENG_00009	Thompson	Hunter S. Thompson
CORRECT     	EL_ENG_00827	Hunter S. Thompson	Hunter S. Thompson
CORRECT     	EL_ENG_00445	Chinese Basketball Association	Chinese Basketball Association
CORRECT     	EL_ENG_01164	Nick Carter	Nick Carter (musician)
WRONG KB ID 	EL_ENG_01337	Coventry	Coventry
WRONG KB ID 	EL_ENG_01623	Lafayette	Gilbert du Motier, marquis de Lafayette
EXP NIL     	EL_ENG_01866	Creative Management Associates	International Creative Management
CORRECT     	EL_ENG_00963	Kingston, Georgia	Kingston, Georgia
WRONG KB ID 	EL_ENG_01664	Bellevue, Nebraska	Bellevue University
CORRECT     	EL_ENG_00771	Crossville, Tennessee	Crossville, Tennessee
CORRECT     	EL_ENG_01730	Scarsdale, New York	Scarsdale, New York
EXP NIL     	EL_ENG_01615	Irma Clark	Irma Clark-Coleman
CORRECT     	EL_ENG_00992	Glasgow	Glasgow
CORRECT     	EL_ENG_01709	Tara Kirk	Tara Kirk
CORRECT     	EL_ENG_02048	Tara Kirk	Tara Kirk
CORRECT     	EL_ENG_00502	Shirley Jones	Shirley Jones
CORRECT     	EL_ENG_01522	Stephen Jones	Stephen Jones (rugby player)
CORRECT     	EL_ENG_01672	Steve Fossett	Steve Fossett
CORRECT     	EL_ENG_00993	John Quincy Adams	John Quincy Adams
CORRECT     	EL_ENG_00858	Waterloo, Iowa	Waterloo, Iowa
CORRECT     	EL_ENG_02075	Waterloo, Iowa	Waterloo, Iowa
CORRECT     	EL_ENG_00886	Wilmington, North Carolina	Wilmington, North Carolina
CORRECT     	EL_ENG_01596	Harcourt Education	Harcourt Trade Publishers
CORRECT     	EL_ENG_00751	Chelsea	Chelsea F.C.
CORRECT     	EL_ENG_01814	Chelsea	Chelsea F.C.
WRONG KB ID 	EL_ENG_00130	Medford School District	Medford School District (Oregon)
CORRECT     	EL_ENG_00936	Radford, Virginia	Radford, Virginia
CORRECT     	EL_ENG_01423	Durham, Uk	Durham
EXP NIL     	EL_ENG_01765	Tampa	Tampa, Florida
CORRECT     	EL_ENG_02084	American Psychological Association	American Psychological Association
CORRECT     	EL_ENG_02187	American Psychological Association	American Psychological Association
CORRECT     	EL_ENG_01774	Frank Miller	Frank Miller (comics)
CORRECT     	EL_ENG_00637	Salem, Ohio	Salem, Ohio
CORRECT     	EL_ENG_01429	Roger Moore	Roger Moore
CORRECT     	EL_ENG_01421	Wilson	August Wilson
CORRECT     	EL_ENG_00737	Towson, Maryland	Towson, Maryland
CORRECT     	EL_ENG_00374	Lawrence Franklin	Larry Franklin
CORRECT     	EL_ENG_01160	Larry Franklin	Larry Franklin
CORRECT     	EL_ENG_01542	Larry Franklin	Larry Franklin
CORRECT     	EL_ENG_01857	Clifton, Virginia	Clifton, Virginia
CORRECT     	EL_ENG_00727	Tommy Lee Jones	Tommy Lee Jones
CORRECT     	EL_ENG_00391	cross	Marcia Cross
CORRECT     	EL_ENG_01706	CTA	California Teachers Association
EXP NIL     	EL_ENG_01241	Sara Jane Olson	Sara Jane Olson
CORRECT     	EL_ENG_00904	Jacksonville, Florida	Jacksonville, Florida
WRONG KB ID 	EL_ENG_00807	Apple Computer	Apple Inc.
CORRECT     	EL_ENG_01032	Apple Inc.	Apple Inc.
EXP NIL     	EL_ENG_01863	Apple	Apple Inc.
CORRECT     	EL_ENG_00373	Philadelphia Daily News	Philadelphia Daily News
WRONG KB ID 	EL_ENG_02065	Daily News	Philadelphia Daily News
CORRECT     	EL_ENG_00695	Alexandria, Romania	Alexandria, Romania
CORRECT     	EL_ENG_01230	Marseilles	Marseille
CORRECT     	EL_ENG_01315	Marseille	Marseille
EXP NIL     	EL_ENG_01910	Marseilles	Marseille
CORRECT     	EL_ENG_01896	Manchester, Michigan	Manchester, Michigan
EXP NIL     	EL_ENG_02063	Washington, New Jersey	Washington, New Jersey
CORRECT     	EL_ENG_01605	Cornwall, Connecticut	Cornwall, Connecticut
WRONG KB ID 	EL_ENG_00322	UNC	University of North Carolina at Chapel Hill
CORRECT     	EL_ENG_00198	Jackson, Michigan	Jackson, Michigan
CORRECT     	EL_ENG_00626	Pelham, New Hampshire	Pelham, New Hampshire
CORRECT     	EL_ENG_01083	Arlington, Massachusetts	Arlington, Massachusetts
CORRECT     	EL_ENG_00312	Man U	Manchester United F.C.
CORRECT     	EL_ENG_00331	Man Utd	Manchester United F.C.
CORRECT     	EL_ENG_00455	MAN U	Manchester United F.C.
CORRECT     	EL_ENG_01483	Man United	Manchester United F.C.
CORRECT     	EL_ENG_02223	ManUnited	Manchester United F.C.
WRONG KB ID 	EL_ENG_01696	Hillsdale	Hillsdale College
CORRECT     	EL_ENG_00842	Fred D. Thompson	Fred Thompson
WRONG KB ID 	EL_ENG_01334	Naples, Florida	Collier County, Florida
EXP NIL     	EL_ENG_01802	New Jersey	New Jersey
CORRECT     	EL_ENG_01679	Carlson	Carlson Companies
CORRECT     	EL_ENG_01307	Wilson	Flip Wilson
CORRECT     	EL_ENG_01602	Hamilton, Ontario	Hamilton, Ontario
CORRECT     	EL_ENG_00318	Norwegian University of Science and Technology	Norwegian University of Science and Technology
CORRECT     	EL_ENG_00765	Norwegian University of Science and Technology	Norwegian University of Science and Technology
EXP NIL     	EL_ENG_01970	Chris Clark	Chris Clark (musician)
CORRECT     	EL_ENG_02006	Clearwater, Florida	Clearwater, Florida
CORRECT     	EL_ENG_00911	Wallingford, Connecticut	Wallingford, Connecticut
EXP NIL     	EL_ENG_02115	Wallingford	Wallingford, Connecticut
WRONG KB ID 	EL_ENG_00589	WNBA	National Basketball Association
CORRECT     	EL_ENG_01690	Delta Burke	Delta Burke
CORRECT     	EL_ENG_01006	Westfield	Westfield Group
EXP NIL     	EL_ENG_01532	Larkin	Philip Larkin
CORRECT     	EL_ENG_00754	Cadel Evans	Cadel Evans
EXP NIL     	EL_ENG_02118	Mike Jones	Ted Haggard
EXP NIL     	EL_ENG_00324	Tony Newton	Tony Newton
CORRECT     	EL_ENG_01410	Christopher Lloyd	Christopher Lloyd
CORRECT     	EL_ENG_01540	Farmington, Missouri	Farmington, Missouri
CORRECT     	EL_ENG_00035	Pleasantville, New Jersey	Pleasantville, New Jersey
EXP NIL     	EL_ENG_00174	Macao International Airport	Macau International Airport
CORRECT     	EL_ENG_01726	British Computer Society	British Computer Society
CORRECT     	EL_ENG_00085	Wade Wilson	Wade Wilson (American football)
CORRECT     	EL_ENG_01223	Appleton, Wisconsin	Appleton, Wisconsin
WRONG KB ID 	EL_ENG_00019	Oxford	Oxford
CORRECT     	EL_ENG_00098	Oxford	Oxford
WRONG KB ID 	EL_ENG_00124	Oxford	Oxford
CORRECT     	EL_ENG_01165	Oxford	Oxford
CORRECT     	EL_ENG_02155	Oxford	Oxford
EXP NIL     	EL_ENG_00575	Ed Clark	Ed Clark
EXP NIL     	EL_ENG_01530	Woodbridge	Benjamin Ruggles Woodbridge
CORRECT     	EL_ENG_00361	Caroline Kennedy	Caroline Kennedy
CORRECT     	EL_ENG_01728	Centerville, Texas	Centerville, Texas
CORRECT     	EL_ENG_02023	Anchorage, Kentucky	Anchorage, Kentucky
CORRECT     	EL_ENG_00978	Wilmington, Massachusetts	Wilmington, Massachusetts
CORRECT     	EL_ENG_01507	James Patterson	James Patterson
WRONG KB ID 	EL_ENG_00792	Salem	Salem, Oregon
CORRECT     	EL_ENG_00885	Salem, Oregon	Salem, Oregon
CORRECT     	EL_ENG_01074	Salem	Salem, Oregon
WRONG KB ID 	EL_ENG_01861	Salem	Salem, Oregon
CORRECT     	EL_ENG_02221	P.J. Patterson	P. J. Patterson
WRONG KB ID 	EL_ENG_00736	Avon, New York	Avon (village), New York
CORRECT     	EL_ENG_01111	Jimmy Walker	Jimmy Walker (basketball)
WRONG KB ID 	EL_ENG_01947	Northport	East Northport, New York
CORRECT     	EL_ENG_00001	Lucy Walsh	Lucy Walsh
CORRECT     	EL_ENG_00834	Bangor, Maine	Bangor, Maine
CORRECT     	EL_ENG_00757	Charleston, South Carolina	Charleston, South Carolina
CORRECT     	EL_ENG_00778	Charleston, South Carolina	Charleston, South Carolina
CORRECT     	EL_ENG_01322	Hillary Clinton	Hillary Rodham Clinton
CORRECT     	EL_ENG_00073	Brooke Astor	Brooke Astor
WRONG KB ID 	EL_ENG_00819	Oxford, Ohio	Millett Hall
WRONG KB ID 	EL_ENG_02108	Oxford, Ohio	Millett Hall
WRONG KB ID 	EL_ENG_01021	Northport, Michigan	Northport, Michigan
CORRECT     	EL_ENG_01649	BLA	Balochistan Liberation Army
CORRECT     	EL_ENG_00524	Arthur M. Schlesinger Jr	Arthur M. Schlesinger, Jr.
CORRECT     	EL_ENG_00113	Ford	Ford Motor Company
CORRECT     	EL_ENG_01991	Ford Motor Co.	Ford Motor Company
WRONG KB ID 	EL_ENG_01054	Lebanon, Pennsylvania	Lebanon High School (Pennsylvania)
CORRECT     	EL_ENG_01512	Kiley Dean	Kiley Dean
CORRECT     	EL_ENG_01107	Fremont, California	Fremont, California
CORRECT     	EL_ENG_00903	Goldsmith	Peter Goldsmith, Baron Goldsmith
CORRECT     	EL_ENG_00382	Christopher Newton	Christopher Newton (criminal)
CORRECT     	EL_ENG_01535	Christopher Newton	Christopher Newton (criminal)
EXP NIL     	EL_ENG_01278	Ruth	Babe Ruth
CORRECT     	EL_ENG_01800	Ruth	Babe Ruth
CORRECT     	EL_ENG_00206	Emma Thompson	Emma Thompson
CORRECT     	EL_ENG_00240	Tillie Olsen	Tillie Olsen
EXP NIL     	EL_ENG_00581	Ama	American Motorcyclist Association
CORRECT     	EL_ENG_00308	Clark
EXP NIL     	EL_ENG_00699	Calgary	Calgary
CORRECT     	EL_ENG_01981	Bedford, Indiana	Bedford, Indiana
CORRECT     	EL_ENG_01642	Santa Cruz, Bolivia	Santa Cruz de la Sierra
CORRECT     	EL_ENG_00571	American Medical Association	American Medical Association
WRONG KB ID 	EL_ENG_00722	AMA	American Medical Association
CORRECT     	EL_ENG_00640	Anchorage Daily News	Anchorage Daily News
EXP NIL     	EL_ENG_00564	Washington	George W. Bush
CORRECT     	EL_ENG_01380	Somerset, New Jersey	Somerset, New Jersey
WRONG KB ID 	EL_ENG_01676	Somerset, New Jersey	Somerset, New Jersey
CORRECT     	EL_ENG_01839	Vancouver, Washington	Vancouver, Washington
CORRECT     	EL_ENG_01491	Alan Johnston	Alan Johnston
CORRECT     	EL_ENG_01647	Walkersville, Maryland	Walkersville, Maryland
CORRECT     	EL_ENG_01101	Quincy Carter	Quincy Carter
CORRECT     	EL_ENG_01827	Kurt Waldheim	Kurt Waldheim
WRONG KB ID 	EL_ENG_02229	Granville, New York	Granville, New York
CORRECT     	EL_ENG_00547	Princeton, Minnesota	Princeton, Minnesota
CORRECT     	EL_ENG_00453	Andruw Jones	Andruw Jones
CORRECT     	EL_ENG_00239	Network Solutions Inc.	Network Solutions
